Date,Open,High,Low,Close,Volume,Adjusted Close
2016-10-03,1439.829956,1450.699951,1437.670044,1443.459961,0.0,1443.459961
2016-09-30,1434.650024,1439.079956,1407.98999,1439.079956,0.0,1439.079956
2016-09-29,1425.380005,1442.890015,1425.380005,1434.810059,0.0,1434.810059
2016-09-28,1422.589966,1436.040039,1422.589966,1425.23999,0.0,1425.23999
2016-09-27,1419.030029,1428.699951,1403.920044,1421.199951,0.0,1421.199951
2016-09-26,1436.560059,1436.560059,1415.199951,1418.189941,0.0,1418.189941
2016-09-23,1446.069946,1446.069946,1432.310059,1437.52002,0.0,1437.52002
2016-09-22,1423.349976,1448.050049,1423.349976,1446.01001,0.0,1446.01001
2016-09-21,1420.22998,1434.709961,1420.140015,1422.660034,0.0,1422.660034
2016-09-20,1418.75,1424.900024,1415.119995,1418.439941,0.0,1418.439941
2016-09-19,1407.02002,1421.47998,1407.02002,1419.01001,0.0,1419.01001
2016-09-16,1415.5,1415.5,1404.02002,1405.310059,0.0,1405.310059
2016-09-15,1409.890015,1417.640015,1401.5,1416.829956,0.0,1416.829956
2016-09-14,1412.130005,1418.130005,1407.02002,1409.890015,0.0,1409.890015
2016-09-13,1418.119995,1427.119995,1410.790039,1410.790039,0.0,1410.790039
2016-09-12,1426.5,1426.5,1400.199951,1417.359985,0.0,1417.359985
2016-09-09,1439.77002,1440.880005,1424.910034,1426.560059,0.0,1426.560059
2016-09-08,1441.140015,1443.209961,1430.530029,1440.030029,0.0,1440.030029
2016-09-07,1437.920044,1443.459961,1435.73999,1441.52002,0.0,1441.52002
2016-09-06,1439.380005,1444.719971,1434.170044,1435.189941,0.0,1435.189941
2016-09-05,1437.469971,1443.219971,1437.469971,1440.76001,0.0,1440.76001
2016-09-02,1418.25,1437.23999,1418.25,1437.23999,0.0,1437.23999
2016-09-01,1419.880005,1430.599976,1416.51001,1417.589966,0.0,1417.589966
2016-08-31,1417.98999,1429.109985,1416.0,1418.140015,0.0,1418.140015
2016-08-30,1411.97998,1423.5,1411.97998,1418.430054,0.0,1418.430054
